Time1,A2_soil_moisture_in_cb,A3_soil_moisture_in_cb,A4_soil_moisture_in_cb,mean_of_tension,A2_soil_moisture_in_cb_vol,A3_soil_moisture_in_cb_vol,A4_soil_moisture_in_cb_vol,mean_of_volumetreic
2022-12-08 00:00:00+01:00,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0
2022-12-09 00:00:00+01:00,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0
2022-12-10 00:00:00+01:00,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0
2022-12-11 00:00:00+01:00,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0
2022-12-12 00:00:00+01:00,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0
2022-12-13 00:00:00+01:00,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0
2022-12-14 00:00:00+01:00,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0
2022-12-15 00:00:00+01:00,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0
2022-12-16 00:00:00+01:00,0.0,0.7148148187516649,0.0,0.23827160625055496,40.0,39.64259259062417,40.0,39.88086419687472
2022-12-17 00:00:00+01:00,0.29166667145632563,3.1802469271200673,1.0938271556371524,1.5219135847378482,39.85416666427184,38.40987653643997,39.45308642218143,39.23904320763108
2022-12-18 00:00:00+01:00,4.833720950193183,5.66091956763432,4.4837209374405615,4.992787151756022,37.58313952490341,37.16954021618284,37.758139531279724,37.50360642412199
2022-12-19 00:00:00+01:00,8.126506001116281,7.8829269176576195,7.3296296331617565,7.779687517311885,35.93674699944186,36.058536541171186,36.33518518341912,36.11015624134405
2022-12-20 00:00:00+01:00,8.94387771645371,9.09696985495211,9.122580641059466,9.054476070821762,35.528061141773144,35.45151507252394,35.438709679470264,35.47276196458912
2022-12-21 00:00:00+01:00,9.51894744069953,9.451648282480765,9.722580632855815,9.564392118678704,35.24052627965023,35.27417585875961,35.13870968357209,35.217803940660644
2022-12-22 00:00:00+01:00,10.242391275322955,9.769662867771105,10.446067445733574,10.152707196275879,34.93940218116926,35.11516856611445,34.888483138566606,34.9810179619501
2022-12-23 00:00:00+01:00,10.799999915447431,10.253191410227025,11.177528006307195,10.743573110660549,34.80000002113814,34.93670214744324,34.7056179984232,34.81410672233486
2022-12-24 00:00:00+01:00,11.751020236891144,10.887368352789627,12.125531876340826,11.587973488673867,34.56224494077721,34.778157911802595,34.468617030914785,34.60300662783153
2022-12-25 00:00:00+01:00,12.698989916329433,11.665979277227343,13.301063862252743,12.555344351936506,34.32525252091764,34.583505180693166,34.17473403443681,34.36116391201587
2022-12-26 00:00:00+01:00,13.810679685722278,12.66799994468689,14.574999978144964,13.684559869518045,34.04733007856942,34.333000013828276,33.85625000546376,34.07886003262049
2022-12-27 00:00:00+01:00,15.049074005197596,13.792857121448128,16.21443315879586,15.018788095147196,33.737731498700605,34.05178571963797,33.44639171030103,33.7453029762132
2022-12-28 00:00:00+01:00,16.305102173162965,15.283505164470869,18.137634502944127,16.575413946859317,33.42372445670926,33.67912370888228,32.965591374263965,33.35614651328517
2022-12-29 00:00:00+01:00,17.64954950143625,16.829000148773194,20.164893698185047,18.2144811161315,33.08761262464093,33.2927499628067,32.45877657545373,32.94637972096712
2022-12-30 00:00:00+01:00,19.23921564513562,18.625773282395194,22.502912743577678,20.1226338903695,32.69019608871609,32.843556679401196,31.874271814105583,32.46934152740763
2022-12-31 00:00:00+01:00,21.045714205787295,20.639999952770413,25.08137248544132,22.255695547999675,32.238571448553174,32.3400000118074,31.229656878639666,31.93607611300008
2023-01-01 00:00:00+01:00,23.10270276799932,23.053465267219167,28.052884597044724,24.73635087742107,31.724324308000167,31.73663368319521,30.486778850738816,31.315912280644728
2023-01-02 00:00:00+01:00,25.27777784298628,25.714018741500713,31.246428387505667,27.412741657330884,31.18055553925343,31.07149531462482,29.91096940089245,30.721006751590235
2023-01-03 00:00:00+01:00,27.558196693170267,28.29908255480845,34.241817994551226,30.03303241417665,30.61045082670743,30.425229361297884,29.697013000389198,30.244231062798168
2023-01-04 00:00:00+01:00,30.178571504259867,31.054782651818318,37.36388898778845,32.86574771462221,29.987244892552866,29.924658382012975,29.47400792944368,29.79530373466984
2023-01-05 00:00:00+01:00,32.31428579300169,33.49758086665984,39.934454012317815,35.248773557326444,29.834693871928447,29.750172795238583,29.290396141977297,29.62508760304811
2023-01-06 00:00:00+01:00,33.263043334518656,35.75702468619859,41.18333317438761,36.734467065034956,29.76692547610581,29.588783950985814,29.201190487543744,29.51896663821179
2023-01-07 00:00:00+01:00,34.313533926368656,37.962015521618746,42.85887084468718,38.378140097558195,29.69189043383081,29.431284605598663,29.081509225379488,29.401561421602988
2023-01-08 00:00:00+01:00,35.173912905264594,39.687692084679234,44.47328261746705,39.77829586913696,29.630434792481097,29.308021993951485,28.96619409875235,29.301550295061645
2023-01-09 00:00:00+01:00,37.07720599454992,42.16911759096033,46.66106883624128,41.96913080725051,29.49448528610358,29.130777314931404,28.809923654554193,29.14506208519639
2023-01-10 00:00:00+01:00,37.64782654029736,44.165925937228735,48.33481482046622,43.38285576599744,29.453726675693044,28.9881481473408,28.6903703699667,29.04408173100018
2023-01-11 00:00:00+01:00,38.523703991925274,45.97943274856459,49.79609400033951,44.76641024694313,29.391164000576765,28.8586119465311,28.585993285690037,28.945256410932632
2023-01-12 00:00:00+01:00,39.208496692133885,47.60393710399237,50.887022964826976,45.89981892031775,29.34225023627615,28.7425759211434,28.508069788226642,28.86429864854873
2023-01-13 00:00:00+01:00,40.052343994379044,49.023308287885854,51.709285790579656,46.92831269094819,29.281975428972924,28.641192265151012,28.449336729244312,28.790834807789413
2023-01-14 00:00:00+01:00,41.32158271185786,50.56328147649765,52.825984233946315,48.236949474100605,29.19131552058158,28.531194180250168,28.36957255471812,28.697360751849956
2023-01-15 00:00:00+01:00,42.24055939787751,52.00222210354275,53.81092440180418,49.351235301074816,29.125674328723033,28.428412706889805,28.299219685585413,28.617768907066083
2023-01-16 00:00:00+01:00,44.11060610684481,53.88749969706816,55.14202900209288,51.04671160200195,28.992099563796796,28.293750021637987,28.20414078556479,28.49666345699986
2023-01-17 00:00:00+01:00,45.86466188359081,56.04848497564142,56.61093756556511,52.84136147493245,28.8668098654578,28.139393930311325,28.09921874531678,28.368474180361968
2023-01-18 00:00:00+01:00,47.313103274641364,58.09999999379724,58.13571439470564,54.51627255438141,28.763349766097047,27.9928571433002,27.99030611466388,28.248837674687042
2023-01-19 00:00:00+01:00,48.50769243040285,60.12907812781368,59.736029372495764,56.12426664357076,28.67802196925694,27.84792299087045,27.87599790196459,28.13398095403066
