Time1,A2_soil_moisture_in_cb,A3_soil_moisture_in_cb,A4_soil_moisture_in_cb,A2_soil_moisture_in_cb_vol,A3_soil_moisture_in_cb_vol,A4_soil_moisture_in_cb_vol
2023-03-03 22:00:00+01:00,77.59,60.39,73.54,26.600714285714282,27.82928571428571,26.889999999999997
2023-03-03 23:00:00+01:00,77.63,60.38,73.54,26.59785714285714,27.83,26.889999999999997
2023-03-04 00:00:00+01:00,77.48,60.28,73.48,26.608571428571427,27.837142857142855,26.894285714285715
2023-03-04 01:00:00+01:00,77.55,60.16,73.49,26.603571428571428,27.845714285714283,26.893571428571427
2023-03-04 02:00:00+01:00,77.49,60.18,73.54,26.607857142857146,27.844285714285714,26.889999999999997
2023-03-04 03:00:00+01:00,77.62,60.12,73.55,26.598571428571425,27.84857142857143,26.889285714285716
2023-03-04 04:00:00+01:00,77.59,60.06,73.56,26.600714285714282,27.85285714285714,26.888571428571428
2023-03-04 05:00:00+01:00,77.54,60.03,73.5,26.604285714285712,27.855,26.89285714285714
2023-03-04 06:00:00+01:00,77.15,60.0,73.35,26.632142857142853,27.857142857142858,26.903571428571425
2023-03-04 07:00:00+01:00,77.16,59.92,73.53,26.63142857142857,27.862857142857145,26.890714285714285
2023-03-04 08:00:00+01:00,77.39,59.94,73.8,26.615,27.86142857142857,26.871428571428567
2023-03-04 09:00:00+01:00,77.79,59.99,73.84,26.586428571428574,27.85785714285714,26.868571428571432
2023-03-04 10:00:00+01:00,78.19,60.07,73.78,26.557857142857145,27.85214285714286,26.872857142857143
2023-03-04 11:00:00+01:00,78.78,60.09,73.92,26.51571428571429,27.850714285714282,26.862857142857145
2023-03-04 12:00:00+01:00,79.37,60.19,74.07,26.47357142857143,27.84357142857143,26.85214285714286
2023-03-04 13:00:00+01:00,79.87,60.27,74.25,26.43785714285714,27.837857142857143,26.839285714285715
2023-03-04 14:00:00+01:00,80.25,60.28,74.22,26.41071428571429,27.837142857142855,26.841428571428573
2023-03-04 15:00:00+01:00,80.51,60.17,74.36,26.392142857142858,27.845,26.831428571428575
2023-03-04 16:00:00+01:00,80.64,60.2,74.37,26.38285714285714,27.84285714285714,26.830714285714286
2023-03-04 17:00:00+01:00,80.28,59.97,74.33,26.408571428571427,27.859285714285715,26.833571428571428
2023-03-04 18:00:00+01:00,79.85,59.81,74.09,26.439285714285717,27.87071428571429,26.850714285714282
2023-03-04 19:00:00+01:00,79.06,59.63,74.14,26.495714285714282,27.88357142857143,26.84714285714286
2023-03-04 20:00:00+01:00,78.48,59.53,74.03,26.53714285714286,27.890714285714285,26.855
2023-03-04 21:00:00+01:00,78.0,59.46,74.01,26.57142857142857,27.895714285714284,26.85642857142857
2023-03-04 22:00:00+01:00,77.63,59.45,74.02,26.59785714285714,27.896428571428572,26.85571428571428
2023-03-04 23:00:00+01:00,77.52,59.39,73.92,26.60571428571429,27.900714285714283,26.862857142857145
2023-03-05 00:00:00+01:00,77.29,59.4,73.87,26.622142857142855,27.9,26.866428571428568
2023-03-05 01:00:00+01:00,77.23,59.43,73.85,26.626428571428573,27.89785714285714,26.867857142857144
2023-03-05 02:00:00+01:00,77.35,59.41,73.78,26.617857142857144,27.899285714285714,26.872857142857143
2023-03-05 03:00:00+01:00,77.56,59.41,73.66,26.60285714285714,27.899285714285714,26.88142857142857
2023-03-05 04:00:00+01:00,77.53,59.29,73.71,26.605,27.90785714285714,26.877857142857142
2023-03-05 05:00:00+01:00,77.65,59.21,73.71,26.59642857142857,27.913571428571426,26.877857142857142
2023-03-05 06:00:00+01:00,77.62,59.2,73.66,26.598571428571425,27.914285714285715,26.88142857142857
2023-03-05 07:00:00+01:00,77.74,59.19,73.71,26.590000000000003,27.915,26.877857142857142
2023-03-05 08:00:00+01:00,78.18,59.22,73.96,26.558571428571426,27.912857142857145,26.86
2023-03-05 09:00:00+01:00,78.42,59.09,74.1,26.541428571428572,27.922142857142855,26.85
2023-03-05 10:00:00+01:00,79.16,59.26,74.18,26.48857142857143,27.91,26.844285714285714
2023-03-05 11:00:00+01:00,79.48,59.38,74.12,26.465714285714288,27.90142857142857,26.84857142857143
2023-03-05 12:00:00+01:00,79.99,59.28,74.33,26.429285714285715,27.908571428571427,26.833571428571428
2023-03-05 13:00:00+01:00,80.3,59.08,74.24,26.40714285714286,27.922857142857143,26.839999999999996
2023-03-05 14:00:00+01:00,80.74,59.24,74.51,26.375714285714285,27.91142857142857,26.82071428571429
2023-03-05 15:00:00+01:00,80.83,59.29,74.51,26.369285714285716,27.90785714285714,26.82071428571429
2023-03-05 16:00:00+01:00,81.02,59.27,74.69,26.35571428571429,27.909285714285716,26.807857142857145
2023-03-05 17:00:00+01:00,80.82,59.2,74.67,26.369999999999997,27.914285714285715,26.809285714285714
2023-03-05 18:00:00+01:00,80.23,58.9,74.46,26.412142857142857,27.935714285714287,26.82428571428571
2023-03-05 19:00:00+01:00,79.44,58.74,74.22,26.46857142857143,27.947142857142858,26.841428571428573
2023-03-05 20:00:00+01:00,78.58,58.7,74.2,26.529999999999998,27.949999999999996,26.84285714285714
2023-03-05 21:00:00+01:00,77.83,58.58,74.11,26.583571428571428,27.958571428571428,26.849285714285713
2023-03-05 22:00:00+01:00,77.15,58.45,74.04,26.632142857142853,27.967857142857145,26.854285714285712
2023-03-05 23:00:00+01:00,76.62,58.48,73.95,26.669999999999998,27.965714285714284,26.86071428571428
2023-03-06 00:00:00+01:00,78.37,58.45,74.0,26.544999999999995,27.967857142857145,26.857142857142858
2023-03-06 01:00:00+01:00,78.07,58.55,73.92,26.566428571428567,27.960714285714282,26.862857142857145
2023-03-06 02:00:00+01:00,77.67,58.58,73.87,26.595000000000002,27.958571428571428,26.866428571428568
2023-03-06 03:00:00+01:00,77.37,58.51,73.85,26.616428571428568,27.963571428571427,26.867857142857144
2023-03-06 04:00:00+01:00,77.31,58.27,73.53,26.620714285714286,27.980714285714285,26.890714285714285
2023-03-06 05:00:00+01:00,77.11,58.18,73.47,26.634999999999998,27.987142857142857,26.895000000000003
2023-03-06 06:00:00+01:00,77.34,58.1,73.47,26.618571428571425,27.99285714285714,26.895000000000003
2023-03-06 07:00:00+01:00,77.19,58.12,73.54,26.62928571428571,27.99142857142857,26.889999999999997
2023-03-06 08:00:00+01:00,77.94,58.22,74.7,26.575714285714287,27.98428571428571,26.807142857142857
2023-03-06 09:00:00+01:00,78.36,58.32,74.96,26.545714285714283,27.977142857142855,26.78857142857143
2023-03-06 10:00:00+01:00,78.06,58.3,74.75,26.567142857142855,27.97857142857143,26.803571428571427
2023-03-06 11:00:00+01:00,78.92,58.33,74.35,26.505714285714287,27.97642857142857,26.83214285714286
2023-03-06 12:00:00+01:00,79.43,58.4,74.47,26.46928571428571,27.971428571428568,26.82357142857143
2023-03-06 13:00:00+01:00,80.02,58.47,74.61,26.42714285714286,27.96642857142857,26.813571428571425
2023-03-06 14:00:00+01:00,80.42,58.5,74.6,26.398571428571426,27.964285714285715,26.814285714285713
2023-03-06 15:00:00+01:00,80.83,58.63,74.68,26.369285714285716,27.955,26.808571428571426
2023-03-06 16:00:00+01:00,81.26,58.55,74.78,26.338571428571427,27.960714285714282,26.80142857142857
2023-03-06 17:00:00+01:00,81.51,58.56,74.96,26.320714285714285,27.96,26.78857142857143
2023-03-06 18:00:00+01:00,81.87,58.54,75.55,26.295,27.96142857142857,26.74642857142857
2023-03-06 19:00:00+01:00,82.71,58.59,75.62,26.234999999999996,27.95785714285714,26.74142857142857
2023-03-06 20:00:00+01:00,83.04,58.66,75.81,26.21142857142857,27.95285714285714,26.727857142857143
2023-03-06 21:00:00+01:00,83.1,58.65,75.85,26.207142857142856,27.95357142857143,26.724999999999998
2023-03-06 22:00:00+01:00,82.75,58.63,75.8,26.23214285714286,27.955,26.728571428571428
2023-03-06 23:00:00+01:00,82.03,58.35,75.47,26.283571428571427,27.975,26.752142857142857
2023-03-07 00:00:00+01:00,81.01,58.24,75.26,26.35642857142857,27.982857142857142,26.767142857142858
2023-03-07 01:00:00+01:00,80.11,58.14,75.34,26.420714285714286,27.99,26.76142857142857
2023-03-07 02:00:00+01:00,79.79,58.17,75.35,26.443571428571428,27.98785714285714,26.760714285714286
2023-03-07 03:00:00+01:00,79.8,58.15,75.33,26.442857142857147,27.989285714285717,26.762142857142855
2023-03-07 04:00:00+01:00,79.76,58.11,75.25,26.445714285714285,27.992142857142856,26.767857142857142
2023-03-07 05:00:00+01:00,79.91,58.14,75.13,26.435,27.99,26.776428571428575
2023-03-07 06:00:00+01:00,79.87,58.17,75.19,26.43785714285714,27.98785714285714,26.772142857142857
2023-03-07 07:00:00+01:00,79.71,57.9,75.06,26.449285714285715,28.00714285714286,26.781428571428574
2023-03-07 08:00:00+01:00,79.42,57.81,74.93,26.47,28.013571428571428,26.790714285714284
2023-03-07 09:00:00+01:00,79.16,57.89,74.99,26.48857142857143,28.00785714285714,26.786428571428573
2023-03-07 10:00:00+01:00,79.02,57.85,74.9,26.498571428571427,28.010714285714283,26.79285714285714
2023-03-07 11:00:00+01:00,78.77,57.75,74.94,26.516428571428573,28.017857142857146,26.789999999999996
2023-03-07 12:00:00+01:00,78.54,57.61,74.85,26.532857142857143,28.027857142857144,26.79642857142857
2023-03-07 13:00:00+01:00,78.89,57.85,75.2,26.507857142857144,28.010714285714283,26.77142857142857
2023-03-07 14:00:00+01:00,79.45,57.98,75.22,26.46785714285714,28.001428571428573,26.77
2023-03-07 15:00:00+01:00,80.12,58.1,75.26,26.419999999999998,27.99285714285714,26.767142857142858
2023-03-07 16:00:00+01:00,81.16,58.05,75.41,26.345714285714283,27.996428571428574,26.75642857142857
2023-03-07 17:00:00+01:00,81.88,58.17,75.45,26.294285714285714,27.98785714285714,26.753571428571426
2023-03-07 18:00:00+01:00,82.68,58.11,75.61,26.23714285714286,27.992142857142856,26.74214285714286
2023-03-07 19:00:00+01:00,83.36,58.27,75.73,26.18857142857143,27.980714285714285,26.73357142857143
2023-03-07 20:00:00+01:00,83.78,58.24,75.84,26.15857142857143,27.982857142857142,26.725714285714286
2023-03-07 21:00:00+01:00,83.67,58.24,75.95,26.16642857142857,27.982857142857142,26.71785714285714
2023-03-07 22:00:00+01:00,83.52,58.16,76.0,26.177142857142854,27.98857142857143,26.71428571428571
2023-03-07 23:00:00+01:00,82.88,57.92,75.89,26.22285714285714,28.005714285714284,26.722142857142856
2023-03-08 00:00:00+01:00,82.24,57.93,75.76,26.26857142857143,28.005000000000003,26.731428571428573
2023-03-08 01:00:00+01:00,81.42,57.81,75.68,26.32714285714286,28.013571428571428,26.737142857142853
2023-03-08 02:00:00+01:00,80.97,57.82,75.66,26.35928571428571,28.01285714285714,26.73857142857143
2023-03-08 03:00:00+01:00,80.38,57.87,75.56,26.40142857142857,28.009285714285713,26.745714285714286
2023-03-08 04:00:00+01:00,79.75,57.78,75.52,26.44642857142857,28.01571428571428,26.748571428571427
2023-03-08 05:00:00+01:00,79.55,57.77,75.4,26.46071428571429,28.01642857142857,26.757142857142856
2023-03-08 06:00:00+01:00,79.27,57.67,75.39,26.480714285714285,28.023571428571426,26.757857142857144
2023-03-08 07:00:00+01:00,78.93,57.57,75.25,26.505000000000003,28.030714285714286,26.767857142857142
2023-03-08 08:00:00+01:00,78.8,57.54,75.19,26.514285714285712,28.032857142857143,26.772142857142857
2023-03-08 09:00:00+01:00,78.51,57.47,75.14,26.534999999999997,28.037857142857142,26.775714285714287
2023-03-08 10:00:00+01:00,78.58,57.46,75.25,26.529999999999998,28.03857142857143,26.767857142857142
