"Time","638de53168f31919048f189d, 63932c6e68f319085df375b5; B2_solar_x2_03, Soil_tension","638de53168f31919048f189d, 63932c6e68f319085df375b7; B2_solar_x2_03, Resistance","638de53168f31919048f189d, 63932c6e68f319085df375b9; B2_solar_x2_03, Soil_temperature","638de56a68f31919048f189e, 63932ce468f319085df375cb; B3_solar_x1_02, Resistance","638de57568f31919048f189f, 63932c3668f319085df375ab; B4_solar_x1_03, Soil_tension","638de57568f31919048f189f, 63932c3668f319085df375ad; B4_solar_x1_03, Resistance","638de57568f31919048f189f, 63932c3668f319085df375af; B4_solar_x1_03, Soil_temperature"
"2023-02-09 01:10:00 +0000 UTC",6.4,86.1,11.1,126.9,9.8,131.10001,12.1
"2023-02-09 01:20:00 +0000 UTC",6.2,85.5,11.1,127,9.9,132,12.1
"2023-02-09 01:30:00 +0000 UTC",6.2,85.5,11.1,127,9.9,132.60001,12.1
"2023-02-09 01:40:00 +0000 UTC",,,,127,9.9,132.2,12.1
"2023-02-09 01:50:00 +0000 UTC",6.4,86.1,11.1,127.6,9.9,132.2,12
"2023-02-09 02:00:00 +0000 UTC",6.4,86.1,11.1,127.35,9.9,132.2,12.1
"2023-02-09 02:10:00 +0000 UTC",6.4,86.1,11.1,128.2,9.9,132.60001,12
"2023-02-09 02:20:00 +0000 UTC",6.4,86,11.1,128.2,9.9,132.2,12
"2023-02-09 02:30:00 +0000 UTC",6.4,86.1,11.1,127.6,9.9,132.2,12
"2023-02-09 02:40:00 +0000 UTC",6.5,86.6,11,127.6,9.9,132.2,12
"2023-02-09 02:50:00 +0000 UTC",6.4,86.1,11,127.6,9.9,132.2,12
"2023-02-09 03:00:00 +0000 UTC",6.2,85.5,11,127.6,9.9,132.7,12
"2023-02-09 03:10:00 +0000 UTC",6.5,86.6,11,128.2,9.9,132.7,12
"2023-02-09 03:20:00 +0000 UTC",6.5,86.6,11,127.6,9.9,132.7,12
"2023-02-09 03:30:00 +0000 UTC",6.5,86.6,11,128.2,9.85,132.2,12
"2023-02-09 03:40:00 +0000 UTC",6.5,86.6,11,128.2,9.9,132.7,12
"2023-02-09 03:50:00 +0000 UTC",6.5,86.6,11,128.3,9.8,132.2,12
"2023-02-09 04:00:00 +0000 UTC",6.5,86.6,11,128.3,9.8,132.2,12
"2023-02-09 04:10:00 +0000 UTC",6.5,86.6,11,128.3,9.85,132.75,11.9
"2023-02-09 04:20:00 +0000 UTC",6.5,86.6,11,128.3,9.9,133.3,11.9
"2023-02-09 04:30:00 +0000 UTC",6.5,86.6,10.9,128.3,9.9,133.8,11.9
"2023-02-09 04:40:00 +0000 UTC",6.5,86.6,10.9,128.3,9.9,132.7,11.9
"2023-02-09 04:50:00 +0000 UTC",6.5,86.6,10.9,128.3,9.9,133.3,11.9
"2023-02-09 05:00:00 +0000 UTC",6.5,86.6,10.9,128.3,9.9,132.8,11.9
"2023-02-09 05:10:00 +0000 UTC",6.5,86.6,10.9,128.85,9.9,132.7,11.9
"2023-02-09 05:20:00 +0000 UTC",6.5,86.6,10.9,128.89999,9.9,132.89999,11.9
"2023-02-09 05:30:00 +0000 UTC",6.5,86.6,10.9,129.39999,9.9,132.8,11.8
"2023-02-09 05:40:00 +0000 UTC",6.5,86.6,10.8,129.39999,9.9,133.3,11.8
"2023-02-09 05:50:00 +0000 UTC",6.5,86.6,10.8,128.89999,9.9,132.89999,11.8
"2023-02-09 06:00:00 +0000 UTC",6.5,86.6,10.8,129.5,9.9,132.89999,11.8
"2023-02-09 06:10:00 +0000 UTC",6.5,86.6,10.8,129.39999,9.9,132.89999,11.8
"2023-02-09 06:20:00 +0000 UTC",6.5,86.7,10.8,129.5,9.9,133.39999,11.8
"2023-02-09 06:30:00 +0000 UTC",6.6,87.2,10.8,129.5,9.9,133.60001,11.8
"2023-02-09 06:40:00 +0000 UTC",6.5,86.7,10.8,129.5,9.9,133.39999,11.8
"2023-02-09 06:50:00 +0000 UTC",6.6,87.2,10.7,129.5,9.9,133.39999,11.7
