Dataset / Timespan,sklearn.ensemble._forest,sklearn.ensemble._forest.1,catboost.core,lightgbm.sklearn,xgboost.sklearn,sklearn.tree._classes,sklearn.ensemble._gb,sklearn.ensemble._weight_boosting,sklearn.linear_model._ridge,sklearn.linear_model._base,sklearn.linear_model._bayes,sklearn.neighbors._regression,sklearn.linear_model._huber,sklearn.linear_model._coordinate_descent,sklearn.linear_model._coordinate_descent.1,sklearn.linear_model._least_angle,sklearn.linear_model._omp,sklearn.linear_model._passive_aggressive
binned_removed-2024.csv / 2023-03-28 04:00:00 - 2023-06-08 19:00:00,"MAE      2.4986890643029134
RMSE     2.9046598796183454
MPE       152.8385541419611
R2      0.02693776948086457
dtype: object","MAE      2.4986890643029134
RMSE     2.9046598796183454
MPE       152.8385541419611
R2      0.02693776948086457
dtype: object","MAE       2.524895460786644
RMSE      2.839768434087549
MPE      167.09195809512224
R2      0.06992943857022804
dtype: object","MAE      2.3456691564562133
RMSE      2.648784098281172
MPE       167.6620268874114
R2      0.19082368080985557
dtype: object","MAE        2.588650644966833
RMSE       3.007628599291228
MPE       163.97676046873485
R2      -0.04327417046241355
dtype: object","MAE      2.2380286519309522
RMSE      2.611789552132388
MPE      148.11524641295847
R2      0.21326874503989224
dtype: object","MAE      2.5496119300140117
RMSE     2.9020801671924135
MPE      164.96747652808713
R2      0.02866541136078049
dtype: object","MAE        2.519760534544661
RMSE      2.8723561476147585
MPE       169.42335250462534
R2      0.048460943376055554
dtype: object","MAE       2.7397452331513965
RMSE       3.171015154242907
MPE        304.7421772253061
R2      -0.15970272739873126
dtype: object","MAE       2.7358671085964446
RMSE      3.1616349399384576
MPE       302.61910424040315
R2      -0.15285181686408045
dtype: object","MAE        2.703373347630597
RMSE       3.090888644535939
MPE        293.8701400124154
R2      -0.10183550190113766
dtype: object","MAE       2.514411949935166
RMSE      2.821806598141671
MPE       201.7188817987782
R2      0.08165781877579126
dtype: object","MAE      2.5895447713806967
RMSE      2.811994000331477
MPE      234.58216065600217
R2      0.08803363093818817
dtype: object","MAE        2.6605913554212095
RMSE       2.9404368179463614
MPE        210.20653420774102
R2      0.0028195681555954755
dtype: object","MAE        2.6605913554212095
RMSE       2.9404368179463614
MPE        210.20653420774102
R2      0.0028195681555954755
dtype: object","MAE        2.6605948581875007
RMSE       2.9404405831482054
MPE        210.20685931844034
R2      0.0028170143935276615
dtype: object","MAE          2.68156273688212
RMSE        2.948418664169759
MPE        216.71672851002407
R2      -0.002601492873133715
dtype: object","MAE       2.6421554093259574
RMSE      3.1170145355070114
MPE        195.1380087937313
R2      -0.12054086265861952
dtype: object"
binned_removed-2024.csv / 2023-03-28 04:00:00 - 2023-06-06 10:00:00,"MAE       1.6661440183242955
RMSE      1.8468956414393376
MPE        181.0163095863817
R2      -0.14252661861082183
dtype: object",,"MAE       1.7048841012356373
RMSE      1.8699576503431607
MPE        179.8314482174501
R2      -0.17123800535061995
dtype: object","MAE        1.922182751550701
RMSE        2.06820586568126
MPE       210.19386663973242
R2      -0.43274580418293174
dtype: object","MAE       1.4905618444478017
RMSE        1.70493252040548
MPE       139.54894464328646
R2      0.026365389446607046
dtype: object","MAE      1.5738725667663767
RMSE     1.8462911216842695
MPE       133.4543985066602
R2      -0.1417788049708757
dtype: object","MAE     1.4660666625924548
RMSE    1.6327682327059183
MPE     147.49963666911532
R2      0.1070426866358748
dtype: object","MAE      1.8258532652360755
RMSE      1.958695485877917
MPE      191.78868699373345
R2      -0.2850364871331761
dtype: object","MAE       2.739832813292001
RMSE     3.0550860726214837
MPE      313.22751207174156
R2      -2.1262846268014077
dtype: object","MAE     2.7229256855937383
RMSE     3.040517140641627
MPE      310.9889841607651
R2      -2.096538801755142
dtype: object","MAE       2.607198892781391
RMSE     2.8838313869377297
MPE      297.08935460232254
R2      -1.7856166065331247
dtype: object","MAE      1.8786504737551477
RMSE     2.1195428055807763
MPE       191.0686187464998
R2      -0.5047557031185661
dtype: object","MAE       2.087604208947655
RMSE     2.2602372957869687
MPE      232.40639028863512
R2      -0.7111563293348364
dtype: object","MAE       1.8098738611250937
RMSE      1.9572629375002202
MPE       201.93531875746154
R2      -0.28315747759953624
dtype: object",,"MAE       1.8098738432437003
RMSE      1.9572629153859171
MPE       201.93531559317083
R2      -0.28315744860380687
dtype: object","MAE       1.843336711377881
RMSE     2.0018811317637772
MPE      209.96938936924528
R2      -0.3423265703062319
dtype: object","MAE      4.135204173398091
RMSE     5.113177473386951
MPE      413.3342104111997
R2      -7.757161279645008
dtype: object"
binned_removed-2024.csv / 2023-07-19 04:00:00 - 2023-08-31 05:00:00,"MAE     0.004168454322532567
RMSE    0.012467244114912028
MPE                      nan
R2      -0.09068982246068225
dtype: object",,"MAE     0.053168066202258356
RMSE    0.059428623329143615
MPE                      inf
R2        -23.78287428633969
dtype: object","MAE     0.006974147471186657
RMSE     0.01458582859802999
MPE                      inf
R2       -0.4928719072371095
dtype: object","MAE     0.0043311172907685306
RMSE      0.01359805177866388
MPE                       inf
R2        -0.2975189674603438
dtype: object","MAE      0.001547863711792481
RMSE     0.012037608572697787
MPE                       nan
R2      -0.016812247374619504
dtype: object","MAE     0.02386719593961539
RMSE    0.02845186077379685
MPE                     inf
R2       -4.680436165979592
dtype: object","MAE     0.014430984497186227
RMSE    0.020751376637829097
MPE                      inf
R2       -2.0217195885733155
dtype: object","MAE      1.4864134258328658
RMSE     1.5654337053221432
MPE                     inf
R2      -17195.089421901142
dtype: object","MAE      3.5775350259044547
RMSE     3.7978384599982182
MPE                     inf
R2      -101211.30382103015
dtype: object","MAE       1.463968096802511
RMSE     1.5481577473653618
MPE                     inf
R2      -16817.635363794456
dtype: object","MAE     0.07941142682781145
RMSE      0.282423199604564
MPE                     nan
R2       -558.7074296946378
dtype: object","MAE     0.28277982982768596
RMSE    0.34641815306111484
MPE                     inf
R2       -841.0960261481855
dtype: object","MAE      0.4493005301851811
RMSE     0.5448634522424735
MPE                     inf
R2      -2082.2226537447855
dtype: object",,"MAE      0.4492822385131103
RMSE      0.544840859728107
MPE                     inf
R2      -2082.0498975734176
dtype: object","MAE      0.4575559140541933
RMSE     0.5235430627403292
MPE                     inf
R2      -1922.3802520890865
dtype: object","MAE      2.2621516324543296
RMSE     2.5084744884717076
MPE                     inf
R2      -44153.981912795585
dtype: object"
binned_removed-2024.csv / 2023-08-16 04:00:00 - 2023-09-09 19:00:00,"MAE     0.20667667518489644
RMSE     0.2869425759520763
MPE                     inf
R2      -0.5118985469762707
dtype: object",,"MAE      0.2054448792584585
RMSE    0.28854910861572297
MPE                     inf
R2      -0.5288755598066024
dtype: object","MAE      0.2145601372890087
RMSE     0.3010866818670735
MPE                     inf
R2      -0.6646224798217943
dtype: object","MAE     0.20680735956397794
RMSE     0.2870752208053761
MPE                     inf
R2      -0.5132966797794538
dtype: object","MAE     0.21312983029375426
RMSE    0.29269359821708074
MPE                     inf
R2      -0.5731100712583113
dtype: object","MAE      0.2054027282826018
RMSE     0.2897626645432138
MPE                     inf
R2      -0.5417626388914956
dtype: object","MAE     0.21175184493470278
RMSE     0.2988382582772361
MPE                     inf
R2      -0.6398535231101885
dtype: object","MAE     0.3582507021363814
RMSE    0.4356495086825259
MPE                    inf
R2      -2.485034817508083
dtype: object","MAE     0.34194408924740943
RMSE    0.42069323337358977
MPE                     inf
R2       -2.249853003297664
dtype: object","MAE     0.35817164253555134
RMSE    0.43557608770375655
MPE                     inf
R2       -2.483860235185896
dtype: object","MAE     0.22760475669662725
RMSE     0.3102074969040268
MPE                     nan
R2        -0.76700282110248
dtype: object","MAE      0.2575353731844594
RMSE    0.34412079947382956
MPE                     inf
R2      -1.1744754586761936
dtype: object","MAE     0.22914091622148705
RMSE     0.3156676317448902
MPE                     inf
R2      -0.8297542653604222
dtype: object",,"MAE      0.2290470967410977
RMSE    0.31574831959628297
MPE                     inf
R2      -0.8306897924427428
dtype: object","MAE     0.22924441573684745
RMSE     0.3155941831712649
MPE                     inf
R2      -0.8289028812316384
dtype: object","MAE     0.21518065605210068
RMSE    0.30714091236013047
MPE                     inf
R2      -0.7322397657453221
dtype: object"
binned_removed-2024.csv / 2023-03-28 04:00:00 - 2023-07-16 10:00:00,"MAE       2.068890278857604
RMSE     2.1409610011586375
MPE       46.98369215384171
R2      -12.024071988224017
dtype: object",,"MAE      2.249482975031241
RMSE     2.457781749870409
MPE     50.618593468861874
R2      -16.16389722179597
dtype: object","MAE      0.8687703263396744
RMSE     1.0028705007164758
MPE       19.93367183296933
R2      -1.8577154890872447
dtype: object","MAE      2.078399506073848
RMSE     2.186316685588164
MPE     47.031886935332665
R2      -12.58174004062273
dtype: object","MAE      2.3302091587202303
RMSE     2.4116352824120466
MPE       52.92458903070325
R2      -15.525421031015323
dtype: object","MAE      4.429638304993107
RMSE     4.947883622380431
MPE     101.45242060049193
R2      -68.56138613309692
dtype: object","MAE        8.62443491555149
RMSE      8.758376368471184
MPE       200.0187163787195
R2      -216.95984130318422
dtype: object","MAE     29.748239953456668
RMSE     29.82616509752595
MPE      709.4540841435149
R2      -2526.691745122458
dtype: object","MAE      29.771130171555626
RMSE      29.85020924553528
MPE       710.0719728436263
R2      -2530.7687487458475
dtype: object","MAE      29.050838843125447
RMSE      29.12455382280493
MPE       692.7234342360845
R2      -2409.1708906745503
dtype: object","MAE      2.949920743070915
RMSE     4.105536909449187
MPE      69.53327886013665
R2      -46.89268625378355
dtype: object","MAE     3.9840717763384457
RMSE     4.041670632577696
MPE      97.08765331536561
R2      -45.41422599805278
dtype: object","MAE     16.167571949102822
RMSE    16.201309848577917
MPE      387.1774927249907
R2      -744.8122820104433
dtype: object",,"MAE     17.813858436682168
RMSE     17.85194304462453
MPE     426.49268813687115
R2      -904.5246150529696
dtype: object","MAE      2.3163000575088906
RMSE      2.460408122693912
MPE        58.5946794178231
R2      -16.200599324163974
dtype: object","MAE     17.478935857267416
RMSE    20.050388621476692
MPE     429.84274697739073
R2      -1141.286027276324
dtype: object"
binned_removed-2024.csv / 2023-05-27 04:00:00 - 2023-07-02 00:00:00,"MAE       17.23595295881983
RMSE     19.964431753853113
MPE       328.6724945874731
R2      -3.5945016694224297
dtype: object",,"MAE       17.49499856034867
RMSE     19.743589174304336
MPE      321.85471023810607
R2      -3.4934169383075666
dtype: object","MAE     16.791000486556563
RMSE      19.4799129660533
MPE      320.6704074192756
R2      -3.374198941714722
dtype: object","MAE       16.75578073039695
RMSE      19.27635641493271
MPE       316.2368580727964
R2      -3.2832596522372635
dtype: object","MAE       17.45153543698562
RMSE      19.88842665848866
MPE       326.0902290333586
R2      -3.5595854920237313
dtype: object","MAE       17.17943643895692
RMSE     19.816840942594148
MPE       324.9371714972801
R2      -3.5268213343921193
dtype: object","MAE        15.2909499413738
RMSE     17.814768914353053
MPE      293.17164007487617
R2      -2.6583469722094373
dtype: object","MAE     20.668313478405086
RMSE    24.862088596841442
MPE      407.1367436740532
R2      -6.125243757426379
dtype: object","MAE     20.487712167675106
RMSE    24.508547146626302
MPE     400.94974722313106
R2      -5.924041168068569
dtype: object","MAE     19.730994098505494
RMSE    23.935427661138664
MPE      392.6580915551301
R2      -5.603997344174416
dtype: object","MAE     10.801582569883548
RMSE    12.410162540690955
MPE     186.06128974954984
R2      -0.775331447888032
dtype: object","MAE        8.963984838319199
RMSE      10.128062474541895
MPE       153.84104568608967
R2      -0.18243492846003018
dtype: object","MAE      10.469444934951195
RMSE     13.379538638009691
MPE      218.51604471547148
R2      -1.0635109745378881
dtype: object",,"MAE      11.999199317489865
RMSE       15.6587162627107
MPE      257.45593251252456
R2      -1.8264207728234605
dtype: object","MAE        8.575461696809946
RMSE       9.530957860695485
MPE       106.06228903617536
R2      -0.04712277501328255
dtype: object","MAE      10.034214836080972
RMSE     12.009369290763239
MPE       192.0994868930834
R2      -0.6625124497116583
dtype: object"
binned_removed-2024.csv / 2023-03-26 04:00:00 - 2023-07-20 00:00:00,"MAE      1.2538032642179107
RMSE     2.1086147814082565
MPE                     inf
R2      -0.4045613436219695
dtype: object",,"MAE      1.466658478652343
RMSE     2.547445971785826
MPE                    inf
R2      -1.050010956620691
dtype: object","MAE       1.2163898706721998
RMSE      2.0441626697813344
MPE                      inf
R2      -0.32000970538731033
dtype: object","MAE     1.5419253267729445
RMSE     3.142398358100574
MPE                    inf
R2      -2.119382969455514
dtype: object","MAE       1.1940959689686892
RMSE      1.9335129986393316
MPE                      inf
R2      -0.18097420167151368
dtype: object","MAE      1.3344449528500952
RMSE      2.200432433995983
MPE                     inf
R2      -0.5295451239859159
dtype: object","MAE     7.7391019709120625
RMSE     7.940980339893628
MPE                    inf
R2      -18.92023511363358
dtype: object","MAE      32.461906916152614
RMSE      32.59243087493557
MPE                     inf
R2      -334.56737033886697
dtype: object","MAE     32.521976826837836
RMSE     32.65534323568142
MPE                    inf
R2      -335.8640953902709
dtype: object","MAE       31.78650478348253
RMSE      31.90871216330768
MPE                     inf
R2      -320.63608797001706
dtype: object","MAE       2.44408526235229
RMSE     3.647281575636492
MPE                    inf
R2      -3.202278235860117
dtype: object","MAE     3.9979634944638662
RMSE     4.395367073191361
MPE                    inf
R2      -5.102903730274274
dtype: object","MAE     16.585156097264267
RMSE     16.71313517219186
MPE                    inf
R2      -87.23930315397995
dtype: object",,"MAE     17.241118278355582
RMSE     17.36435095835405
MPE                    inf
R2      -94.24963679715694
dtype: object","MAE         2.9133255464347
RMSE     3.4508906432974893
MPE                     inf
R2      -2.7619118281546267
dtype: object","MAE      8.360953568122934
RMSE    11.149014745787984
MPE                    inf
R2      -38.26622927556812
dtype: object"
binned_removed-2024.csv / 2023-04-04 04:00:00 - 2023-05-22 00:00:00,"MAE      1.694316776944266
RMSE    1.8594462315971523
MPE      55.40442851134654
R2      0.3955496756360537
dtype: object",,"MAE      1.7954450095416297
RMSE     1.9566496189892608
MPE       65.89403804494243
R2      0.33070205587569923
dtype: object","MAE      2.098779009211584
RMSE    2.2806679627435087
MPE      63.98013031679724
R2      0.0906784375160774
dtype: object","MAE       2.1714403829195135
RMSE       2.376944234430438
MPE        62.49689158335663
R2      0.012285677552888119
dtype: object","MAE       2.347007954241637
RMSE     2.5462030472063533
MPE       72.32287407979162
R2      -0.1333901467891001
dtype: object","MAE       2.4387748761648163
RMSE      2.5687827153497866
MPE          81.233650210214
R2      -0.15358103152802283
dtype: object","MAE      1.7685590848817925
RMSE      2.010520243574752
MPE       69.58721069833337
R2      0.29334039513139964
dtype: object","MAE       2.053771149365525
RMSE      2.552518453273074
MPE       45.76874917097271
R2      -0.1390194667826774
dtype: object","MAE         2.04601544464471
RMSE      2.5521836330198937
MPE        45.19442588697746
R2      -0.13872067029535962
dtype: object","MAE        2.127934588241995
RMSE       2.555710252006026
MPE        50.62477858596633
R2      -0.14186982338340437
dtype: object","MAE        2.286925289882228
RMSE      2.7402117109842328
MPE       60.000637654574305
R2      -0.31268826184102694
dtype: object","MAE      2.0494114354391457
RMSE      2.593655094065746
MPE       42.78285711211321
R2      -0.1760284043820146
dtype: object","MAE       2.2616193216451577
RMSE      2.6242450589643247
MPE        57.03649342301927
R2      -0.20393251010429525
dtype: object",,"MAE       2.2616203448582266
RMSE      2.6242427858556976
MPE        57.03668514520414
R2      -0.20393042442393483
dtype: object","MAE        2.275626644055313
RMSE       2.571859204786469
MPE        62.08383967804421
R2      -0.15634584697573706
dtype: object","MAE        2.145553358008373
RMSE      2.6290649613415247
MPE        71.85153454410275
R2      -0.20835905260989307
dtype: object"
binned_removed-2024.csv / 2023-07-06 04:00:00 - 2023-08-11 19:00:00,"MAE       1.735746339456466
RMSE     1.7994921660844814
MPE                     nan
R2      -2042.2639188026485
dtype: object",,"MAE     1.0420284120648002
RMSE    1.0907161241557584
MPE                    inf
R2      -749.6681889386576
dtype: object","MAE     1.0428444690715406
RMSE     1.140494311210247
MPE                    inf
R2      -819.7498122925638
dtype: object","MAE      2.264093771587724
RMSE    2.3118580190676234
MPE                    inf
R2      -3371.460430919948
dtype: object","MAE      1.6166472558739053
RMSE      1.846729759968343
MPE                     nan
R2      -2150.9453657303834
dtype: object","MAE      0.4668946132142068
RMSE     0.5806087418326557
MPE                     inf
R2      -211.71185071069456
dtype: object","MAE      1.2500340651110733
RMSE     1.4290161232410643
MPE                     inf
R2      -1287.5426650294862
dtype: object","MAE     2.3053103411756224
RMSE     2.462901044853226
MPE                    inf
R2      -3826.528836343958
dtype: object","MAE      1.3974605366152792
RMSE       1.59147317856081
MPE                     inf
R2      -1597.1708052621955
dtype: object","MAE     2.1639245315951374
RMSE    2.3265353123868193
MPE                    inf
R2      -3414.417841278189
dtype: object","MAE     0.8367901070022976
RMSE     1.592111759417648
MPE                    nan
R2      -1598.453599149991
dtype: object","MAE     0.8533442627055938
RMSE    1.0327650614183086
MPE                    inf
R2      -672.0194570524301
dtype: object","MAE     1.2437055941528399
RMSE    1.4282642937783507
MPE                    inf
R2      -1286.187173678256
dtype: object",,"MAE      1.2436996575302204
RMSE      1.428259510560499
MPE                     inf
R2      -1286.1785521837817
dtype: object","MAE      2.163649968759444
RMSE    2.1651635274003143
MPE                    inf
R2      -2957.052998024439
dtype: object","MAE     2.0680882174272903
RMSE     2.566059208470848
MPE                    inf
R2      -4153.874318134496
dtype: object"
